Version,Year,Month,Sender,Receiver,Cost,Quantity,UoM,
A/T,2017,M01,SF_307485,SF_314617,0,0,EA,
A/T,2017,M01,SF_307485,SF_314620,0,0,EA,
A/T,2017,M01,SF_307485,SF_314623,0,0,EA,
A/T,2017,M01,SF_307485,SF_314628,0,0,EA,
A/T,2017,M01,SF_307485,SF_314635,0,0,EA,
A/T,2017,M01,SF_307485,SF_314651,0,0,EA,
A/T,2017,M01,SF_307485,SF_314654,0,0,EA,
A/T,2017,M01,SF_307485,SF_315674,0,0,EA,
A/T,2017,M01,SF_314612,FP_731680,0,0,EA,
A/T,2017,M01,SF_314613,FP_731680,0,0,EA,
A/T,2017,M01,SF_314614,FP_731680,0,0,EA,
A/T,2017,M01,SF_314615,FP_731680,0,0,EA,
A/T,2017,M01,SF_314617,FP_731680,0,0,EA,
A/T,2017,M01,SF_314618,FP_731680,0,0,EA,
A/T,2017,M01,SF_314619,SF_314620,0,0,EA,
A/T,2017,M01,SF_314621,SF_314617,0,0,EA,
A/T,2017,M01,SF_314621,SF_314620,0,0,EA,
A/T,2017,M01,SF_314621,SF_314628,0,0,EA,
A/T,2017,M01,SF_314622,SF_314623,0,0,EA,
A/T,2017,M01,SF_314623,FP_731680,0,0,EA,
A/T,2017,M01,SF_314624,FP_731680,0,0,EA,
A/T,2017,M01,SF_314626,SF_314684,0,0,EA,
A/T,2017,M01,SF_314628,FP_731680,0,0,EA,
A/T,2017,M01,SF_314629,SF_314628,0,0,EA,
A/T,2017,M01,SF_314630,SF_314631,0,0,EA,
A/T,2017,M01,SF_314631,FP_731680,0,0,EA,
A/T,2017,M01,SF_314632,FP_731680,0,0,EA,
A/T,2017,M01,SF_314633,FP_731680,0,0,EA,
A/T,2017,M01,SF_314634,SF_314635,0,0,EA,
A/T,2017,M01,SF_314635,FP_731680,0,0,EA,
A/T,2017,M01,SF_314636,SF_314635,0,0,EA,
A/T,2017,M01,SF_314636,SF_314651,0,0,EA,
A/T,2017,M01,SF_314637,SF_314683,0,0,EA,
A/T,2017,M01,SF_314639,SF_314684,0,0,EA,
A/T,2017,M01,SF_314640,FP_731680,0,0,EA,
A/T,2017,M01,SF_314641,FP_731680,0,0,EA,
A/T,2017,M01,SF_314642,SF_314643,0,0,EA,
A/T,2017,M01,SF_314644,SF_314643,0,0,EA,
A/T,2017,M01,SF_314644,SF_314648,0,0,EA,
A/T,2017,M01,SF_314645,SF_314682,0,0,EA,
A/T,2017,M01,SF_314646,SF_314682,0,0,EA,
A/T,2017,M01,SF_314647,SF_314648,0,0,EA,
A/T,2017,M01,SF_314648,FP_731680,0,0,EA,
A/T,2017,M01,SF_314649,FP_731680,0,0,EA,
A/T,2017,M01,SF_314650,SF_314651,0,0,EA,
A/T,2017,M01,SF_314652,FP_731680,0,0,EA,
A/T,2017,M01,SF_314653,SF_314654,0,0,EA,
A/T,2017,M01,SF_314655,SF_314623,0,0,EA,
A/T,2017,M01,SF_314655,SF_314654,0,0,EA,
A/T,2017,M01,SF_314682,FP_731680,0,0,EA,
A/T,2017,M01,SF_314683,FP_731680,0,0,EA,
A/T,2017,M01,SF_314684,FP_731680,0,0,EA,
A/T,2017,M01,SF_315660,FP_732880,0,0,EA,
A/T,2017,M01,SF_315661,FP_732880,0,0,EA,
A/T,2017,M01,SF_315663,FP_732880,0,0,EA,
A/T,2017,M01,SF_315664,SF_315680,0,0,EA,
A/T,2017,M01,SF_315665,FP_732880,0,0,EA,
A/T,2017,M01,SF_315670,FP_732880,0,0,EA,
A/T,2017,M01,SF_315674,FP_732880,0,0,EA,
A/T,2017,M01,SF_315680,FP_732880,0,0,EA,
A/T,2017,M01,SF_315738,SF_315674,0,0,EA,
A/T,2017,M01,SF_350039,FP_750015,0,0,EA,
A/T,2017,M01,SF_350040,FP_750015,0,0,EA,
A/T,2017,M01,SF_350040,FP_750087,0,0,EA,
A/T,2017,M01,SF_350043,SF_350230,0,0,EA,
A/T,2017,M01,SF_350043,SF_350326,0,0,EA,
A/T,2017,M01,SF_350046,SF_350230,0,0,EA,
A/T,2017,M01,SF_350046,SF_350326,0,0,EA,
A/T,2017,M01,SF_350049,SF_350326,0,0,EA,
A/T,2017,M01,SF_350052,SF_350230,0,0,EA,
A/T,2017,M01,SF_350055,SF_350326,0,0,EA,
A/T,2017,M01,SF_350075,SF_350074,0,0,EA,
A/T,2017,M01,SF_350082,SF_350232,0,0,EA,
A/T,2017,M01,SF_350085,SF_350232,0,0,EA,
A/T,2017,M01,SF_350088,SF_350232,0,0,EA,
A/T,2017,M01,SF_350091,SF_350232,0,0,EA,
A/T,2017,M01,SF_350092,SF_350232,0,0,EA,
A/T,2017,M01,SF_350096,FP_750022,0,0,EA,
A/T,2017,M01,SF_350099,SF_350098,0,0,EA,
A/T,2017,M01,SF_350120,FP_750106,0,0,EA,
A/T,2017,M01,SF_350120,FP_750131,0,0,EA,
A/T,2017,M01,SF_350124,SF_350238,0,0,EA,
A/T,2017,M01,SF_350124,SF_350394,0,0,EA,
A/T,2017,M01,SF_350132,SF_350238,0,0,EA,
A/T,2017,M01,SF_350132,SF_350394,0,0,EA,
A/T,2017,M01,SF_350140,SF_350238,0,0,EA,
A/T,2017,M01,SF_350140,SF_350394,0,0,EA,
A/T,2017,M01,SF_350144,SF_350238,0,0,EA,
A/T,2017,M01,SF_350144,SF_350394,0,0,EA,
A/T,2017,M01,SF_350147,SF_350394,0,0,EA,
A/T,2017,M01,SF_350172,SF_350394,0,0,EA,
A/T,2017,M01,SF_350216,FP_750131,0,0,EA,
A/T,2017,M01,SF_350218,FP_750106,0,0,EA,
A/T,2017,M01,SF_350223,FP_750063,0,0,EA,
A/T,2017,M01,SF_350232,SF_350233,0,0,EA,
A/T,2017,M01,SF_350233,SF_350268,0,0,EA,
A/T,2017,M01,SF_350238,SF_350271,0,0,EA,
A/T,2017,M01,SF_350243,FP_750015,0,0,EA,
A/T,2017,M01,SF_350243,FP_750087,0,0,EA,
A/T,2017,M01,SF_350244,SF_350326,0,0,EA,
A/T,2017,M01,SF_350266,FP_750015,0,0,EA,
A/T,2017,M01,SF_350266,FP_750087,0,0,EA,
A/T,2017,M01,SF_350268,FP_750096,0,0,EA,
A/T,2017,M01,SF_350271,FP_750106,0,0,EA,
A/T,2017,M01,SF_350276,SF_350326,0,0,EA,
A/T,2017,M01,SF_350277,SF_350326,0,0,EA,
A/T,2017,M01,SF_350279,SF_350366,0,0,EA,
A/T,2017,M01,SF_350280,SF_350366,0,0,EA,
A/T,2017,M01,SF_350297,SF_350298,0,0,EA,
A/T,2017,M01,SF_350307,SF_350308,0,0,EA,
A/T,2017,M01,SF_350308,FP_750131,0,0,EA,
A/T,2017,M01,SF_350314,FP_750087,0,0,EA,
A/T,2017,M01,SF_350326,FP_750087,0,0,EA,
A/T,2017,M01,SF_350338,FP_750132,0,0,EA,
A/T,2017,M01,SF_350350,SF_350351,0,0,EA,
A/T,2017,M01,SF_350359,SF_350360,0,0,EA,
A/T,2017,M01,SF_350364,SF_350268,0,0,EA,
A/T,2017,M01,SF_350365,SF_350366,0,0,EA,
A/T,2017,M01,SF_350367,SF_350368,0,0,EA,
A/T,2017,M01,SF_350369,FP_750131,0,0,EA,
A/T,2017,M01,SF_350390,SF_350391,0,0,EA,
A/T,2017,M01,SF_350393,SF_350394,0,0,EA,
A/T,2017,M01,SF_350394,SF_350395,0,0,EA,
A/T,2017,M01,SF_350395,FP_750131,0,0,EA,
A/T,2017,M01,SF_350004,SF_350005,0,0,EA,
A/T,2017,M01,SF_350006,FP_750002XFA,0,0,EA,
A/T,2017,M01,SF_350016,FP_750005XGA,0,0,EA,
A/T,2017,M01,SF_350025,SF_350006,0,0,EA,
A/T,2017,M01,SF_350027,SF_350016,0,0,EA,
A/T,2017,M01,SF_350250,FP_750008XBA,0,0,EA,
A/T,2017,M01,SF_350332,SF_350333,0,0,EA,
A/T,2017,M01,SF_350333,SF_350334,0,0,EA,
A/T,2017,M01,SF_350334,FP_750095XJA,0,0,EA,
A/T,2017,M01,SF_350339,FP_750079XBA,0,0,EA,
A/T,2017,M01,SF_350341,SF_350414,0,0,EA,
A/T,2017,M01,SF_350345,SF_350334,0,0,EA,
A/T,2017,M01,SF_350347,SF_350334,0,0,EA,
A/T,2017,M01,SF_350363,SF_350016,0,0,EA,
A/T,2017,M01,SF_350377,SF_350006,0,0,EA,
A/T,2017,M01,RP_01_61C,BP_01_61C_1,0,0,Hrs,
A/T,2017,M01,RP_01_61C,BP_01_61C_2,0,0,Hrs,
A/T,2017,M01,RP_01_61D,BP_01_61D_1,0,0,Hrs,
A/T,2017,M01,RP_01_61D,BP_01_61D_2,0,0,Hrs,
A/T,2017,M01,RP_01_75A,FP_CTS,0,0,Hrs,
A/T,2017,M01,RP_01_76A,RP_01_76C,0,0,Hrs,
A/T,2017,M01,RP_01_76A,FP_CTS,0,0,Hrs,
A/T,2017,M01,RP_01_76B,BP_01_76B_1,0,0,Hrs,
A/T,2017,M01,RP_01_78A,BP_01_78A_1,0,0,Hrs,
A/T,2017,M01,RP_01_78A,BP_01_78A_3,0,0,Hrs,
A/T,2017,M01,RP_01_78B,BP_01_78B_3,0,0,Hrs,
A/T,2017,M01,RP_01_14B,RP_01_14E,0,0,Hrs,
A/T,2017,M01,RP_01_14B,RP_01_17D,0,0,Hrs,
A/T,2017,M01,RP_01_16C,BP_01_16C_1,0,0,Hrs,
A/T,2017,M01,RP_01_16D,SF_350091,0,0,Hrs,
A/T,2017,M01,RP_01_16D,SF_350223,0,0,Hrs,
A/T,2017,M01,RP_01_16D,SF_350247,0,0,Hrs,
A/T,2017,M01,RP_01_16D,SF_350271,0,0,Hrs,
A/T,2017,M01,RP_01_16D,SF_350307,0,0,Hrs,
A/T,2017,M01,RP_01_16D,SF_350308,0,0,Hrs,
A/T,2017,M01,RP_01_16D,SF_350393,0,0,Hrs,
A/T,2017,M01,RP_01_16D,SF_350005,0,0,Hrs,
A/T,2017,M01,RP_01_16D,SF_350006,0,0,Hrs,
A/T,2017,M01,RP_01_16D,SF_350333,0,0,Hrs,
A/T,2017,M01,RP_01_16E,SF_307485,0,0,Hrs,
A/T,2017,M01,RP_01_16E,SF_314616,0,0,Hrs,
A/T,2017,M01,RP_01_16E,SF_314619,0,0,Hrs,
A/T,2017,M01,RP_01_16E,SF_314622,0,0,Hrs,
A/T,2017,M01,RP_01_16E,SF_314629,0,0,Hrs,
A/T,2017,M01,RP_01_16E,SF_314632,0,0,Hrs,
A/T,2017,M01,RP_01_16E,SF_314633,0,0,Hrs,
A/T,2017,M01,RP_01_16E,SF_314634,0,0,Hrs,
A/T,2017,M01,RP_01_16E,SF_314637,0,0,Hrs,
A/T,2017,M01,RP_01_16E,SF_314639,0,0,Hrs,
A/T,2017,M01,RP_01_16E,SF_314641,0,0,Hrs,
A/T,2017,M01,RP_01_16E,SF_314642,0,0,Hrs,
A/T,2017,M01,RP_01_16E,SF_314644,0,0,Hrs,
A/T,2017,M01,RP_01_16E,SF_314645,0,0,Hrs,
A/T,2017,M01,RP_01_16E,SF_314647,0,0,Hrs,
