Version,Year,Month,Sender,Receiver,Cost,Quantity,Variance,UoM
V002,2017,M01,RP_01_14E,SF_350347,0,0.02,0.00,LB
V002,2017,M01,RP_01_35D,SF_350347,0.01,0,0.00,MHrs
V002,2017,M01,RP_01_19D,SF_350347,0.01,0,0.00,MHrs
V002,2017,M01,BP_01_17D_1,SF_350347,0.01,0,0.00,EA
V002,2017,M01,RP_01_35B,SF_350347,0.02,0,0.00,Hrs
V002,2017,M01,BP_01_35D_1,SF_350347,0.02,0,0.00,EA
V002,2017,M01,SF_307485,SF_315674,0.03,0.13,0.01,EA
V002,2017,M01,RP_01_14F,SF_350333,0.04,0.09,0.01,LTR
V002,2017,M01,RP_01_14C,SF_350027,0.07,0,0.01,Hrs
V002,2017,M01,RP_01_14C,SF_314617,0.09,0,0.02,Hrs
V002,2017,M01,RP_01_14C,SF_314620,0.09,0,0.02,Hrs
V002,2017,M01,RP_01_14C,SF_314628,0.09,0,0.02,Hrs
V002,2017,M01,RP_01_14C,SF_314629,0.09,0,0.02,Hrs
V002,2017,M01,RP_01_14E,SF_350027,0.11,0.61,-0.02,LB
V002,2017,M01,RP_01_14G,SF_350316,0.15,15.98,0.03,EA
V002,2017,M01,RP_01_14G,SF_350394,0.15,16.61,0.03,EA
V002,2017,M01,RP_01_14C,SF_314623,0.18,0,0.04,Hrs
V002,2017,M01,RP_01_14C,SF_314635,0.18,0,0.04,Hrs
V002,2017,M01,RP_01_14C,SF_314651,0.18,0,0.04,Hrs
V002,2017,M01,RP_01_14C,SF_314654,0.18,0,0.04,Hrs
V002,2017,M01,BP_01_17D_1,SF_350027,0.2,0.03,0.04,EA
V002,2017,M01,RP_01_14C,FP_750095XJA,0.21,0,0.04,Hrs
V002,2017,M01,RP_01_14F,SF_315680,0.23,0.58,0.05,LTR
V002,2017,M01,RP_01_14G,FP_750096,0.23,24.49,0.05,EA
V002,2017,M01,RP_01_14C,SF_350334,0.24,0,0.05,Hrs
V002,2017,M01,RP_01_14C,SF_350333,0.24,0,0.05,Hrs
V002,2017,M01,RP_01_14E,SF_314621,0.27,1.45,-0.05,LB
V002,2017,M01,BP_01_17D_1,SF_314617,0.27,0.04,0.05,EA
V002,2017,M01,BP_01_17D_1,SF_314620,0.27,0.04,0.05,EA
V002,2017,M01,BP_01_17D_1,SF_314628,0.27,0.04,0.05,EA
V002,2017,M01,BP_01_17D_1,SF_314629,0.27,0.04,0.05,EA
V002,2017,M01,RP_01_16E,SF_350027,0.28,0.02,0.06,Hrs
V002,2017,M01,RP_01_14G,SF_314684,0.29,30.7,0.06,EA
V002,2017,M01,RP_01_14G,SF_314682,0.29,30.7,0.06,EA
V002,2017,M01,RP_01_14G,SF_314683,0.29,30.7,0.06,EA
V002,2017,M01,RP_01_19H,SF_350345,0.33,0.67,0.07,MHrs
V002,2017,M01,RP_01_45F,BP_01_45F_1,0.36,0.26,0.07,MHrs
